,Disease,Disease Type,Year,Week,Current Year,Previous Year,Median Previous 5 Years,Cumulative Current Year,Cumulative Previous Year,Cumulative Median Previous 5 Years
974,Other patients tested,MERS-CoV,2023,26,0,0,,70,4,
975,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,27,1,1,1,22,7,7
976,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,27,2,2,1,33,14,25
977,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,27,11,10,12,228,424,258
978,Cholera,FOOD/WATER-BORNE DISEASES,2023,27,0,0,0,0,7,1
979,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,27,0,0,0,7,5,7
980,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,27,0,0,0,0,0,0
981,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,27,19,23,32,641,747,833
982,Typhoid,FOOD/WATER-BORNE DISEASES,2023,27,3,0,0,34,39,26
983,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,27,0,0,0,5,8,8
984,Dengue Fever,VECTOR-BORNE DISEASES,2023,27,235,1164,591,4580,19325,6656
985,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,27,0,0,2,2,29,29
986,Japanese Encephalitis,VECTOR-BORNE DISEASES,2023,27,0,0,0,0,0,4
987,Leptospirosis,VECTOR-BORNE DISEASES,2023,27,1,1,0,33,23,16
988,Malaria,VECTOR-BORNE DISEASES,2023,27,0,0,1,7,7,8
989,Murine Typhus,VECTOR-BORNE DISEASES,2023,27,0,0,0,6,5,4
990,Nipah virus infection,VECTOR-BORNE DISEASES,2023,27,0,0,0,0,0,0
991,Plague,VECTOR-BORNE DISEASES,2023,27,0,0,0,0,0,0
992,Yellow Fever,VECTOR-BORNE DISEASES,2023,27,0,0,0,0,0,0
993,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,27,0,0,0,22,0,1
994,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,27,0,0,0,0,0,0
995,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,27,0,0,0,0,0,0
996,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,27,0,0,0,0,0,0
997,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,27,0,0,0,0,1,1
998,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,27,0,0,0,10,11,9
999,Measles,AIR/DROPLET-BORNE DISEASES,2023,27,0,0,0,6,1,10
1000,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,27,1,0,1,21,15,16
1001,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,27,0,0,0,1,1,2
1002,Middle East Respiratory Syndrome^,AIR/DROPLET-BORNE DISEASES,2023,27,0,0,0,0,0,0
1003,"#Mpox",AIR/DROPLET-BORNE DISEASES,2023,27,0,3,,6,4,
1004,Mumps,AIR/DROPLET-BORNE DISEASES,2023,27,9,5,6,96,68,155
1005,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,27,0,0,0,10,0,11
1006,Pneumococcal Disease (invasive),AIR/DROPLET-BORNE DISEASES,2023,27,2,1,1,69,21,34
1007,Rubella,AIR/DROPLET-BORNE DISEASES,2023,27,0,0,0,0,0,0
1008,Severe acute respiratory syndrome,AIR/DROPLET-BORNE DISEASES,2023,27,0,0,0,0,0,0
1009,Tetanus,AIR/DROPLET-BORNE DISEASES,2023,27,0,0,0,1,0,0
1010,Acute hepatitis B,OTHER DISEASES,2023,27,0,0,1,20,16,21
1011,Acute hepatitis C,OTHER DISEASES,2023,27,0,0,0,9,11,10
1012,Botulism,OTHER DISEASES,2023,27,0,0,0,0,0,0
1013,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,28,3,1,1,25,8,8
1014,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,28,1,3,1,34,17,26
1015,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,28,9,7,8,237,431,266
1016,Cholera,FOOD/WATER-BORNE DISEASES,2023,28,0,0,0,0,7,1
1017,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,28,0,1,0,7,6,7
1018,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,28,0,0,0,0,0,0
1019,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,28,34,33,25,675,780,858
1020,Typhoid,FOOD/WATER-BORNE DISEASES,2023,28,5,0,0,39,39,26
1021,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,28,0,2,1,5,10,10
1022,Dengue Fever,VECTOR-BORNE DISEASES,2023,28,211,918,661,4792,20243,7317
1023,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,28,0,0,0,2,29,29
1024,Japanese Encephalitis,VECTOR-BORNE DISEASES,2023,28,0,0,0,0,0,4
1025,Leptospirosis,VECTOR-BORNE DISEASES,2023,28,4,2,1,37,25,18
1026,Malaria,VECTOR-BORNE DISEASES,2023,28,1,0,0,8,7,8
1027,Murine Typhus,VECTOR-BORNE DISEASES,2023,28,0,0,0,6,5,4
1028,Nipah Virus Infection,VECTOR-BORNE DISEASES,2023,28,0,0,0,0,0,0
1029,Plague,VECTOR-BORNE DISEASES,2023,28,0,0,0,0,0,0
1030,Yellow Fever,VECTOR-BORNE DISEASES,2023,28,0,0,0,0,0,0
1031,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,28,0,0,0,22,0,1
1032,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,28,0,0,0,0,0,0
1033,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,28,0,0,0,0,0,0
1034,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,28,0,0,0,0,0,0
1035,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,28,0,0,0,0,1,1
1036,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,28,0,0,0,10,11,9
1037,Measles,AIR/DROPLET-BORNE DISEASES,2023,28,0,0,0,6,1,10
1038,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,28,0,1,1,21,16,17
1039,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,28,0,0,0,1,1,3
1040,Middle East Respiratory Syndrome^,AIR/DROPLET-BORNE DISEASES,2023,28,0,0,0,0,0,0
1041,Mpox#,AIR/DROPLET-BORNE DISEASES,2023,28,1,2,,7,6,
1042,Mumps,AIR/DROPLET-BORNE DISEASES,2023,28,3,4,5,99,72,160
1043,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,28,1,0,0,11,0,11
1044,Pneumococcal Disease (Invasive),AIR/DROPLET-BORNE DISEASES,2023,28,2,3,3,71,24,34
1045,Rubella,AIR/DROPLET-BORNE DISEASES,2023,28,0,0,0,0,0,0
1046,Severe Acute Respiratory Syndrome,AIR/DROPLET-BORNE DISEASES,2023,28,0,0,0,0,0,0
1047,Tetanus,AIR/DROPLET-BORNE DISEASES,2023,28,0,0,0,1,0,0
1048,Acute Hepatitis B,OTHER DISEASES,2023,28,0,1,1,20,17,22
1049,Acute Hepatitis C,OTHER DISEASES,2023,28,3,0,0,12,11,10
1050,Botulism,OTHER DISEASES,2023,28,0,0,0,0,0,0
1051,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,29,1,3,0,26,11,11
1052,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,29,0,0,1,34,17,27
1053,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,29,6,9,12,243,440,278
1054,Cholera,FOOD/WATER-BORNE DISEASES,2023,29,0,0,0,0,7,1
1055,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,29,0,0,0,7,6,8
1056,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,29,0,0,0,0,0,0
1057,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,29,46,35,34,721,815,891
1058,Typhoid,FOOD/WATER-BORNE DISEASES,2023,29,1,4,0,40,43,26
1059,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,29,0,1,0,5,11,10
1060,Dengue Fever,VECTOR-BORNE DISEASES,2023,29,202,1035,644,4992,21278,7961
1061,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,29,0,1,1,2,30,30
1062,Japanese Encephalitis,VECTOR-BORNE DISEASES,2023,29,0,0,0,0,0,5
1063,Leptospirosis,VECTOR-BORNE DISEASES,2023,29,2,1,1,39,26,18
1064,Malaria,VECTOR-BORNE DISEASES,2023,29,0,1,0,8,8,8
1065,Murine Typhus,VECTOR-BORNE DISEASES,2023,29,0,0,0,6,5,5
1066,Nipah Virus Infection,VECTOR-BORNE DISEASES,2023,29,0,0,0,0,0,0
1067,Plague,VECTOR-BORNE DISEASES,2023,29,0,0,0,0,0,0
1068,Yellow Fever,VECTOR-BORNE DISEASES,2023,29,0,0,0,0,0,0
1069,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,29,1,0,0,23,0,1
1070,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,29,0,0,0,0,0,0
1071,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,29,0,0,0,0,0,0
1072,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,29,0,0,0,0,0,0
1073,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,29,0,0,0,0,1,1
1074,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,29,1,0,0,11,11,9
1075,Measles,AIR/DROPLET-BORNE DISEASES,2023,29,0,0,0,6,1,10
1076,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,29,0,0,1,21,16,18
1077,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,29,0,0,0,1,1,3
1078,Middle East Respiratory Syndrome^,AIR/DROPLET-BORNE DISEASES,2023,29,0,0,0,0,0,0
1079,"#Mpox",AIR/DROPLET-BORNE DISEASES,2023,29,0,0,,7,6,
1080,Mumps,AIR/DROPLET-BORNE DISEASES,2023,29,3,4,7,102,76,167
1081,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,29,0,0,0,11,0,11
1082,Pneumococcal Disease (Invasive),AIR/DROPLET-BORNE DISEASES,2023,29,1,1,1,73,25,34
1083,Rubella,AIR/DROPLET-BORNE DISEASES,2023,29,0,0,0,0,0,0
1084,Severe Acute Respiratory Syndrome,AIR/DROPLET-BORNE DISEASES,2023,29,0,0,0,0,0,0
1085,Tetanus,AIR/DROPLET-BORNE DISEASES,2023,29,0,0,0,1,0,0
1086,Acute Hepatitis B,OTHER DISEASES,2023,29,1,1,1,21,18,24
1087,Acute Hepatitis C,OTHER DISEASES,2023,29,1,0,0,11,11,10
1088,Botulism,OTHER DISEASES,2023,29,0,0,0,0,0,0
1089,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,30,1,1,1,27,12,12
1090,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,30,1,1,1,35,18,27
1091,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,30,8,3,7,251,443,285
1092,Cholera,FOOD/WATER-BORNE DISEASES,2023,30,0,0,0,0,7,1
1093,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,30,0,0,0,7,6,8
1094,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,30,0,0,0,0,0,0
1095,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,30,27,18,29,748,833,924
1096,Typhoid,FOOD/WATER-BORNE DISEASES,2023,30,1,2,2,41,45,26
1097,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,30,0,2,1,5,13,10
1098,Dengue Fever,VECTOR-BORNE DISEASES,2023,30,213,1092,601,5205,22370,8562
1099,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,30,1,0,0,3,30,30
1100,Japanese Encephalitis,VECTOR-BORNE DISEASES,2023,30,0,0,0,0,0,5
1101,Leptospirosis,VECTOR-BORNE DISEASES,2023,30,1,2,0,40,28,18
1102,Malaria,VECTOR-BORNE DISEASES,2023,30,0,1,0,8,9,10
1103,Murine Typhus,VECTOR-BORNE DISEASES,2023,30,1,0,0,7,5,5
1104,Nipah Virus Infection,VECTOR-BORNE DISEASES,2023,30,0,0,0,0,0,0
1105,Plague,VECTOR-BORNE DISEASES,2023,30,0,0,0,0,0,0
1106,Yellow Fever,VECTOR-BORNE DISEASES,2023,30,0,0,0,0,0,0
1107,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,30,1,0,0,24,0,1
1108,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,30,0,0,0,0,0,0
1109,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,30,0,0,0,0,0,0
1110,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,30,0,0,0,0,0,0
1111,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,30,0,0,0,0,1,1
1112,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,30,0,1,2,11,12,11
1113,Measles,AIR/DROPLET-BORNE DISEASES,2023,30,0,0,0,6,1,10
1114,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,30,1,1,1,22,17,19
1115,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,30,0,1,0,1,2,3
1116,Middle East Respiratory Syndrome^,AIR/DROPLET-BORNE DISEASES,2023,30,0,0,0,0,0,0
1117,#Mpox,AIR/DROPLET-BORNE DISEASES,2023,30,0,5,,7,11,
1118,Mumps,AIR/DROPLET-BORNE DISEASES,2023,30,1,9,8,103,85,174
1119,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,30,0,0,0,11,0,11
1120,Pneumococcal Disease (Invasive),AIR/DROPLET-BORNE DISEASES,2023,30,3,0,1,76,25,35
1121,Rubella,AIR/DROPLET-BORNE DISEASES,2023,30,0,0,0,0,0,0
1122,Severe Acute Respiratory Syndrome,AIR/DROPLET-BORNE DISEASES,2023,30,0,0,0,0,0,0
1123,Tetanus,AIR/DROPLET-BORNE DISEASES,2023,30,0,0,0,1,0,0
1124,Acute Hepatitis B,OTHER DISEASES,2023,30,0,2,0,21,20,24
1125,Acute Hepatitis C,OTHER DISEASES,2023,30,1,0,0,12,11,10
1126,Botulism,OTHER DISEASES,2023,30,0,0,0,0,0,0
1127,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,31,0,0,0,27,12,12
1128,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,31,1,1,1,36,19,28
1129,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,31,7,5,8,258,448,292
1130,Cholera,FOOD/WATER-BORNE DISEASES,2023,31,0,0,0,0,7,1
1131,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,31,1,0,0,8,6,8
1132,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,31,0,0,0,0,0,0
1133,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,31,13,21,28,761,854,950
1134,Typhoid,FOOD/WATER-BORNE DISEASES,2023,31,2,2,0,43,47,26
1135,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,31,0,1,0,5,14,10
1136,Dengue Fever,VECTOR-BORNE DISEASES,2023,31,164,894,597,5369,23264,9159
1137,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,31,0,2,2,3,32,32
1138,Japanese Encephalitis,VECTOR-BORNE DISEASES,2023,31,0,0,0,0,0,5
1139,Leptospirosis,VECTOR-BORNE DISEASES,2023,31,1,1,1,41,29,19
1140,Malaria,VECTOR-BORNE DISEASES,2023,31,2,0,0,10,9,10
1141,Murine Typhus,VECTOR-BORNE DISEASES,2023,31,0,0,0,7,5,5
1142,Nipah Virus Infection,VECTOR-BORNE DISEASES,2023,31,0,0,0,0,0,0
1143,Plague,VECTOR-BORNE DISEASES,2023,31,0,0,0,0,0,0
1144,Yellow Fever,VECTOR-BORNE DISEASES,2023,31,0,0,0,0,0,0
1145,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,31,0,0,0,24,0,1
1146,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,31,0,0,0,0,0,0
1147,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,31,0,0,0,0,0,0
1148,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,31,0,0,0,0,0,0
1149,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,31,0,0,0,0,1,1
1150,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,31,0,1,0,11,13,12
1151,Measles,AIR/DROPLET-BORNE DISEASES,2023,31,0,0,0,6,1,10
1152,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,31,2,0,1,24,17,19
1153,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,31,1,0,0,2,2,3
1154,Middle East Respiratory Syndrome^,AIR/DROPLET-BORNE DISEASES,2023,31,0,0,0,0,0,0
1155,"#Mpox",AIR/DROPLET-BORNE DISEASES,2023,31,0,4,,7,15,
1156,Mumps,AIR/DROPLET-BORNE DISEASES,2023,31,2,9,7,105,94,176
1157,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,31,2,0,0,13,0,11
1158,Pneumococcal Disease (Invasive),AIR/DROPLET-BORNE DISEASES,2023,31,3,1,1,79,26,36
1159,Rubella,AIR/DROPLET-BORNE DISEASES,2023,31,0,0,0,0,0,0
1160,Severe Acute Respiratory Syndrome,AIR/DROPLET-BORNE DISEASES,2023,31,0,0,0,0,0,0
1161,Tetanus,AIR/DROPLET-BORNE DISEASES,2023,31,0,0,0,1,0,0
1162,Acute Hepatitis B,OTHER DISEASES,2023,31,1,0,1,22,20,25
1163,Acute Hepatitis C,OTHER DISEASES,2023,31,0,0,0,12,11,10
1164,Botulism,OTHER DISEASES,2023,31,0,0,0,0,0,0
1165,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,32,0,0,0,27,12,12
1166,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,32,1,1,0,37,20,28
1167,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,32,5,4,9,263,452,297
1168,Cholera,FOOD/WATER-BORNE DISEASES,2023,32,0,0,0,0,7,1
1169,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,32,0,0,0,8,6,8
1170,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,32,0,0,0,0,0,0
1171,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,32,34,11,30,795,865,977
1172,Typhoid,FOOD/WATER-BORNE DISEASES,2023,32,0,2,2,43,49,27
1173,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,32,0,0,0,5,14,10
1174,Dengue Fever,VECTOR-BORNE DISEASES,2023,32,198,879,521,5567,24143,9680
1175,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,32,0,0,0,3,32,32
1176,Japanese Encephalitis,VECTOR-BORNE DISEASES,2023,32,0,0,0,0,0,5
1177,Leptospirosis,VECTOR-BORNE DISEASES,2023,32,0,2,1,41,31,20
1178,Malaria,VECTOR-BORNE DISEASES,2023,32,0,0,0,10,9,10
1179,Murine Typhus,VECTOR-BORNE DISEASES,2023,32,0,1,0,7,6,5
1180,Nipah Virus Infection,VECTOR-BORNE DISEASES,2023,32,0,0,0,0,0,0
1181,Plague,VECTOR-BORNE DISEASES,2023,32,0,0,0,0,0,0
1182,Yellow Fever,VECTOR-BORNE DISEASES,2023,32,0,0,0,0,0,0
1183,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,32,0,0,0,24,0,1
1184,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,32,0,0,0,0,0,0
1185,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,32,0,0,0,0,0,0
1186,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,32,0,0,0,0,0,0
1187,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,32,0,0,0,0,1,1
1188,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,32,0,0,0,11,13,12
1189,Measles,AIR/DROPLET-BORNE DISEASES,2023,32,0,1,0,6,2,10
1190,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,32,0,1,1,24,18,20
1191,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,32,1,0,0,3,2,3
1192,Middle East Respiratory Syndrome^,AIR/DROPLET-BORNE DISEASES,2023,32,0,0,0,0,0,0
1193,#Mpox,AIR/DROPLET-BORNE DISEASES,2023,32,0,0,,7,15,
1194,Mumps,AIR/DROPLET-BORNE DISEASES,2023,32,1,6,6,106,100,179
1195,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,32,0,0,0,13,0,11
1196,Pneumococcal Disease (Invasive),AIR/DROPLET-BORNE DISEASES,2023,32,2,1,0,81,27,36
1197,Rubella,AIR/DROPLET-BORNE DISEASES,2023,32,0,0,0,0,0,0
1198,Severe Acute Respiratory Syndrome,AIR/DROPLET-BORNE DISEASES,2023,32,0,0,0,0,0,0
1199,Tetanus,AIR/DROPLET-BORNE DISEASES,2023,32,0,0,0,1,0,0
1200,Acute Hepatitis B,OTHER DISEASES,2023,32,0,0,0,22,20,25
1201,Acute Hepatitis C,OTHER DISEASES,2023,32,0,0,0,11,11,10
1202,Botulism,OTHER DISEASES,2023,32,0,0,0,0,0,0
1203,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,33,0,2,1,27,14,14
1204,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,33,1,0,0,38,20,28
1205,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,33,5,6,17,268,458,316
1206,Cholera,FOOD/WATER-BORNE DISEASES,2023,33,0,0,0,0,7,1
1207,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,33,0,0,0,8,6,8
1208,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,33,0,0,0,0,0,0
1209,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,33,31,17,27,826,882,1004
1210,Typhoid,FOOD/WATER-BORNE DISEASES,2023,33,1,1,1,44,50,27
1211,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,33,1,0,0,6,14,10
1212,Dengue Fever,VECTOR-BORNE DISEASES,2023,33,193,679,522,5756,24822,10202
1213,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,33,0,0,1,3,32,32
1214,Japanese Encephalitis,VECTOR-BORNE DISEASES,2023,33,0,0,0,0,0,5
1215,Leptospirosis,VECTOR-BORNE DISEASES,2023,33,1,1,0,42,32,21
1216,Malaria,VECTOR-BORNE DISEASES,2023,33,3,0,0,13,9,10
1217,Murine Typhus,VECTOR-BORNE DISEASES,2023,33,0,1,0,7,7,5
1218,Nipah Virus Infection,VECTOR-BORNE DISEASES,2023,33,0,0,0,0,0,0
1219,Plague,VECTOR-BORNE DISEASES,2023,33,0,0,0,0,0,0
1220,Yellow Fever,VECTOR-BORNE DISEASES,2023,33,0,0,0,0,0,0
1221,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,33,0,0,0,24,0,1
1222,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,33,0,0,0,0,0,0
1223,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,33,0,0,0,0,0,0
1224,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,33,0,0,0,0,0,0
1225,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,33,0,0,0,0,1,1
1226,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,33,0,0,0,11,13,12
1227,Measles,AIR/DROPLET-BORNE DISEASES,2023,33,0,0,0,6,2,10
1228,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,33,0,0,0,24,18,20
1229,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,33,0,0,0,3,2,3
1230,Middle East Respiratory Syndrome^,AIR/DROPLET-BORNE DISEASES,2023,33,0,0,0,0,0,0
1231,"#Mpox",AIR/DROPLET-BORNE DISEASES,2023,33,0,1,,7,16,
1232,Mumps,AIR/DROPLET-BORNE DISEASES,2023,33,2,2,6,108,102,185
1233,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,33,0,0,0,13,0,11
1234,Pneumococcal Disease (Invasive),AIR/DROPLET-BORNE DISEASES,2023,33,5,4,2,86,31,37
1235,Rubella,AIR/DROPLET-BORNE DISEASES,2023,33,0,0,0,0,0,0
1236,Severe Acute Respiratory Syndrome,AIR/DROPLET-BORNE DISEASES,2023,33,0,0,0,0,0,0
1237,Tetanus,AIR/DROPLET-BORNE DISEASES,2023,33,0,0,0,1,0,0
1238,Acute Hepatitis B,OTHER DISEASES,2023,33,1,1,0,22,21,25
1239,Acute Hepatitis C,OTHER DISEASES,2023,33,0,0,0,11,11,11
1240,Botulism,OTHER DISEASES,2023,33,0,0,0,0,0,0
1241,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,34,0,0,0,27,14,14
1242,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,34,1,2,1,39,22,28
1243,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,34,8,3,7,276,461,325
1244,Cholera,FOOD/WATER-BORNE DISEASES,2023,34,0,0,0,0,7,2
1245,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,34,0,0,0,8,6,8
1246,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,34,0,0,0,0,0,0
1247,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,34,22,26,35,848,908,1039
1248,Typhoid,FOOD/WATER-BORNE DISEASES,2023,34,1,3,2,45,53,28
1249,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,34,0,0,0,6,14,10
1250,Dengue Fever,VECTOR-BORNE DISEASES,2023,34,198,661,474,5952,25483,10676
1251,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,34,1,1,1,4,33,33
1252,Japanese Encephalitis,VECTOR-BORNE DISEASES,2023,34,0,0,0,0,0,5
1253,Leptospirosis,VECTOR-BORNE DISEASES,2023,34,0,1,1,42,33,22
1254,Malaria,VECTOR-BORNE DISEASES,2023,34,0,1,0,13,10,10
1255,Murine Typhus,VECTOR-BORNE DISEASES,2023,34,1,0,0,8,7,5
1256,Nipah Virus Infection,VECTOR-BORNE DISEASES,2023,34,0,0,0,0,0,0
1257,Plague,VECTOR-BORNE DISEASES,2023,34,0,0,0,0,0,0
1258,Yellow Fever,VECTOR-BORNE DISEASES,2023,34,0,0,0,0,0,0
1259,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,34,0,1,0,24,1,1
1260,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,34,0,0,0,0,0,0
1261,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,34,0,0,0,0,0,0
1262,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,34,0,0,0,0,0,0
1263,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,34,0,0,0,0,1,1
1264,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,34,2,1,0,13,14,12
1265,Measles,AIR/DROPLET-BORNE DISEASES,2023,34,0,0,0,6,2,10
1266,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,34,0,0,0,24,18,21
1267,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,34,0,0,0,3,2,5
1268,Middle East Respiratory Syndrome^,AIR/DROPLET-BORNE DISEASES,2023,34,0,0,0,0,0,0
1269,"#Mpox",AIR/DROPLET-BORNE DISEASES,2023,34,0,0,,7,16,
1270,Mumps,AIR/DROPLET-BORNE DISEASES,2023,34,3,3,5,111,105,190
1271,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,34,0,0,0,13,0,11
